Cod_Venda;Cod_Data;DataNotaFiscal;Dia;Mes;Ano;Cod_Marca;Marca;UF;Nome_UF;PrecoVenda;PrecoCusto;TotalDesconto;Frete;CustoMaoDeObra;Cod_Modelo;Modelo;Id_Cor;Cores;Cod_Vendedor;Vendedor;Cod_Filial;Nome_Filial;Estado_Filial;Demog_Clientes;Meios_de_Pag;Cat_de_Produtos;Campanhas_de_Mkt;Informacoes_de_Devolu;Canais_de_Venda;Indi_Satisfacao
26;42905;19/06/2017;19;6;2017;M04;Salvion;MT;Mato Grosso;85,75;42,88;2,14;4,89;12,86;J005;Hot Pants;PMS 2926;Preto;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Tecido Incorreto;Online;4.5/5
27;42725;21/12/2016;21;12;2016;M03;Patrilolo;RO;Rondônia;86;43;2,15;4,9;12,9;J002;Skinny;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Não;Online;5/5
28;42954;07/08/2017;7;8;2017;M05;Milteka;CE;Ceará;86,19;43,1;2,15;4,91;12,93;J001;Cropped;PMS 2765;Branco;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Defeito no Produto;Loja Física;4/5
29;43243;23/05/2018;23;5;2018;M03;Patrilolo;AC;Acre;86,53;43,27;2,16;4,93;12,98;J006;Cigarrete;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Dinheiro;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Loja Física;4/5
30;43931;10/04/2020;10;4;2020;M01;Allen Machine;MS;Mato Grosso do Sul;87,36;43,68;2,18;4,98;13,1;J006;Cigarrete;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Débito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Não;Loja Física;4.5/5
31;42390;21/01/2016;21;1;2016;M03;Patrilolo;MS;Mato Grosso do Sul;87,37;43,69;2,18;4,98;13,11;J003;Flare;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Débito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Loja Física;4/5
32;42972;25/08/2017;25;8;2017;M01;Allen Machine;PI;Piauí;87,4;43,7;2,19;4,98;13,11;J005;Hot Pants;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Tamanho Incorreto;Online;5/5
33;43562;07/04/2019;7;4;2019;M01;Allen Machine;PA;Pará;87,45;43,73;2,19;4,98;13,12;J005;Hot Pants;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Não;Online;2/5
34;42860;05/05/2017;5;5;2017;M01;Allen Machine;SP;São Paulo;87,45;43,73;2,19;4,98;13,12;J003;Flare;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Não;Online;3/5
35;43480;15/01/2019;15;1;2019;M03;Patrilolo;AM;Amazonas;87,9;43,95;2,2;5,01;13,19;J002;Skinny;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Não;Online;4/5
36;43193;03/04/2018;3;4;2018;M05;Milteka;SE;Sergipe;88,26;44,13;2,21;5,03;13,24;J004;Pantacourt;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Online;2/5
37;42619;06/09/2016;6;9;2016;M01;Allen Machine;TO;Tocantins;88,44;44,22;2,21;5,04;13,27;J005;Hot Pants;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Pix;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Online;4.5/5
38;42726;22/12/2016;22;12;2016;M02;Pardiucci;BA;Bahia;88,73;44,37;2,22;5,06;13,31;J001;Cropped;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Dinheiro;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Não;Loja Física;4/5
39;42970;23/08/2017;23;8;2017;M02;Pardiucci;MS;Mato Grosso do Sul;88,96;44,48;2,22;5,07;13,34;J001;Cropped;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Promoção de Verão;Sim, Tecido Incorreto;Online;3/5
40;42897;11/06/2017;11;6;2017;M01;Allen Machine;MA;Maranhão;89,1;44,55;2,23;5,08;13,37;J006;Cigarrete;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Pix;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Online;4/5
41;42989;11/09/2017;11;9;2017;M04;Salvion;RS;Rio Grande do Sul;89,3;44,65;2,23;5,09;13,4;J003;Flare;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Débito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Não;Online;5/5
42;43439;05/12/2018;5;12;2018;M02;Pardiucci;MA;Maranhão;89,46;44,73;2,24;5,1;13,42;J001;Cropped;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Tecido Incorreto;Loja Física;3/5
43;43080;11/12/2017;11;12;2017;M03;Patrilolo;RO;Rondônia;89,71;44,86;2,24;5,11;13,46;J004;Pantacourt;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Sim, Tecido Incorreto;Online;4/5
44;43080;11/12/2017;11;12;2017;M01;Allen Machine;DF;Distrito Federal;89,78;44,89;2,24;5,12;13,47;J004;Pantacourt;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Transferência Bancária;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Não;Online;5/5
45;42781;15/02/2017;15;2;2017;M02;Pardiucci;CE;Ceará;90,38;45,19;2,26;5,15;13,56;J006;Cigarrete;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Masculino, 55-64, Classe A;Dinheiro;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Loja Física;5/5
46;43651;05/07/2019;5;7;2019;M02;Pardiucci;BA;Bahia;90,48;45,24;2,26;5,16;13,57;J002;Skinny;PMS 2765;Branco;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Dinheiro;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tecido Incorreto;Online;5/5
47;43946;25/04/2020;25;4;2020;M05;Milteka;RS;Rio Grande do Sul;90,88;45,44;2,27;5,18;13,63;J003;Flare;PMS 519;Vinho;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Mom, Elastano, Lavagem Escura;Black Friday;Não;Online;4.5/5
48;44078;04/09/2020;4;9;2020;M01;Allen Machine;MS;Mato Grosso do Sul;91,01;45,51;2,28;5,19;13,65;J006;Cigarrete;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Não;Online;5/5
49;43127;27/01/2018;27;1;2018;M01;Allen Machine;AP;Amapá;91,03;45,52;2,28;5,19;13,66;J006;Cigarrete;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Transferência Bancária;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Loja Física;5/5
50;42500;10/05/2016;10;5;2016;M03;Patrilolo;ES;Espírito Santo;91,07;45,54;2,28;5,19;13,66;J003;Flare;PMS 519;Vinho;5;Bianka;3;Rio Claro;MG;Masculino, 55-64, Classe A;Débito;Skinny, Algodão, Sem Rasgo;Lançamento de Coleção;Sim, Tecido Incorreto;Online;2/5
51;42681;07/11/2016;7;11;2016;M01;Allen Machine;PE;Pernambuco;91,16;45,58;2,28;5,2;13,67;J004;Pantacourt;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;5/5
52;42473;13/04/2016;13;4;2016;M05;Milteka;MS;Mato Grosso do Sul;91,31;45,66;2,28;5,2;13,7;J003;Flare;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Dinheiro;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Sim, Defeito no Produto;Online;5/5
53;44000;18/06/2020;18;6;2020;M02;Pardiucci;PI;Piauí;92,14;46,07;2,3;5,25;13,82;J001;Cropped;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Feminino, 45-54, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Tamanho Incorreto;Loja Física;3/5
54;44115;11/10/2020;11;10;2020;M01;Allen Machine;AP;Amapá;92,43;46,22;2,31;5,27;13,87;J004;Pantacourt;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Pix;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Defeito no Produto;Loja Física;4.5/5
55;43238;18/05/2018;18;5;2018;M01;Allen Machine;CE;Ceará;92,8;46,4;2,32;5,29;13,92;J003;Flare;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;2/5
56;43328;16/08/2018;16;8;2018;M02;Pardiucci;RO;Rondônia;92,97;46,49;2,32;5,3;13,95;J003;Flare;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Pix;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Loja Física;5/5
57;43097;28/12/2017;28;12;2017;M03;Patrilolo;PB;Paraíba;93,25;46,63;2,33;5,31;13,99;J003;Flare;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;2/5
58;42950;03/08/2017;3;8;2017;M01;Allen Machine;DF;Distrito Federal;94,12;47,06;2,35;5,37;14,12;J002;Skinny;PMS 576;Verde;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Sim, Tecido Incorreto;Online;4/5
59;43399;26/10/2018;26;10;2018;M05;Milteka;SE;Sergipe;94,14;47,07;2,35;5,37;14,12;J001;Cropped;PMS 2926;Preto;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Dinheiro;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Loja Física;4/5
60;44122;18/10/2020;18;10;2020;M03;Patrilolo;PR;Paraná;94,38;47,19;2,36;5,38;14,16;J001;Cropped;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Dinheiro;Boyfriend, Algodão, Rasgado;Promoção de Verão;Não;Loja Física;3/5
61;43157;26/02/2018;26;2;2018;M01;Allen Machine;MG;Minas Gerais;94,65;47,33;2,37;5,39;14,2;J006;Cigarrete;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Pix;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Defeito no Produto;Online;2/5
62;43697;20/08/2019;20;8;2019;M03;Patrilolo;TO;Tocantins;94,96;47,48;2,37;5,41;14,24;J004;Pantacourt;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Dinheiro;Boyfriend, Algodão, Rasgado;Dia das Mães;Não;Loja Física;4/5
63;42608;26/08/2016;26;8;2016;M03;Patrilolo;SE;Sergipe;95,04;47,52;2,38;5,42;14,26;J002;Skinny;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Masculino, 55-64, Classe A;Pix;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Loja Física;5/5
64;43078;09/12/2017;9;12;2017;M05;Milteka;MT;Mato Grosso;95,23;47,62;2,38;5,43;14,29;J004;Pantacourt;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Débito;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Loja Física;4.5/5
65;43318;06/08/2018;6;8;2018;M02;Pardiucci;RJ;Rio de Janeiro;95,27;47,64;2,38;5,43;14,29;J005;Hot Pants;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Dinheiro;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Não;Loja Física;4.5/5
66;42668;25/10/2016;25;10;2016;M04;Salvion;CE;Ceará;95,52;47,76;2,39;5,44;14,33;J005;Hot Pants;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;3/5
67;42435;06/03/2016;6;3;2016;M05;Milteka;TO;Tocantins;95,86;47,93;2,4;5,46;14,38;J003;Flare;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Pix;Boyfriend, Algodão, Rasgado;Black Friday;Não;Loja Física;3/5
68;43700;23/08/2019;23;8;2019;M02;Pardiucci;PA;Pará;95,87;47,94;2,4;5,46;14,38;J003;Flare;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Transferência Bancária;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Defeito no Produto;Loja Física;3/5
69;42888;02/06/2017;2;6;2017;M03;Patrilolo;SC;Santa Catarina;96,12;48,06;2,4;5,48;14,42;J004;Pantacourt;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Defeito no Produto;Online;3/5
70;42625;12/09/2016;12;9;2016;M01;Allen Machine;PB;Paraíba;96,14;48,07;2,4;5,48;14,42;J001;Cropped;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Tecido Incorreto;Online;2/5
71;42437;08/03/2016;8;3;2016;M04;Salvion;AC;Acre;96,44;48,22;2,41;5,5;14,47;J003;Flare;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Pix;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Loja Física;5/5
72;42763;28/01/2017;28;1;2017;M01;Allen Machine;AM;Amazonas;96,7;48,35;2,42;5,51;14,51;J003;Flare;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Sim, Tamanho Incorreto;Online;2/5
73;42798;04/03/2017;4;3;2017;M01;Allen Machine;BA;Bahia;96,82;48,41;2,42;5,52;14,52;J002;Skinny;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;4/5
74;42415;15/02/2016;15;2;2016;M03;Patrilolo;MS;Mato Grosso do Sul;96,82;48,41;2,42;5,52;14,52;J006;Cigarrete;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Dinheiro;Mom, Elastano, Lavagem Escura;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;4.5/5
75;43372;29/09/2018;29;9;2018;M05;Milteka;AM;Amazonas;96,84;48,42;2,42;5,52;14,53;J003;Flare;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Débito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Tecido Incorreto;Online;2/5
76;42865;10/05/2017;10;5;2017;M05;Milteka;ES;Espírito Santo;96,9;48,45;2,42;5,52;14,54;J003;Flare;PMS 576;Verde;5;Bianka;3;Rio Claro;MG;Feminino, 18-24, Classe A;Transferência Bancária;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Sim, Defeito no Produto;Online;3/5
77;43398;25/10/2018;25;10;2018;M04;Salvion;PI;Piauí;97,4;48,7;2,44;5,55;14,61;J001;Cropped;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Pix;Cropped, Elastano, Lavagem Clara;Black Friday;Sim, Tamanho Incorreto;Loja Física;2/5
78;43613;28/05/2019;28;5;2019;M03;Patrilolo;BA;Bahia;97,42;48,71;2,44;5,55;14,61;J002;Skinny;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Transferência Bancária;Mom, Elastano, Lavagem Escura;Dia das Mães;Sim, Tecido Incorreto;Online;4/5
79;43329;17/08/2018;17;8;2018;M03;Patrilolo;SP;São Paulo;97,48;48,74;2,44;5,56;14,62;J006;Cigarrete;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Defeito no Produto;Online;4/5
80;42747;12/01/2017;12;1;2017;M02;Pardiucci;CE;Ceará;97,49;48,75;2,44;5,56;14,63;J002;Skinny;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Débito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Tamanho Incorreto;Loja Física;4/5
81;43101;01/01/2018;1;1;2018;M05;Milteka;AP;Amapá;97,7;48,85;2,44;5,57;14,66;J002;Skinny;PMS 2926;Preto;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Transferência Bancária;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Loja Física;5/5
82;43616;31/05/2019;31;5;2019;M03;Patrilolo;MG;Minas Gerais;97,98;48,99;2,45;5,58;14,7;J003;Flare;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Loja Física;4/5
